situation,investment_type
Graced,angel
Graced,non_equity_assistance
Graced,pre_seed
Graced,grant
Crowdfunding and Early Stages,equity_crowdfunding
Crowdfunding and Early Stages,product_crowdfunding
Crowdfunding and Early Stages,seed
Series and transitionary funding,series_a
Series and transitionary funding,series_b
Series and transitionary funding,series_c
Series and transitionary funding,series_d
Series and transitionary funding,series_e
Series and transitionary funding,series_f
Series and transitionary funding,series_g
Series and transitionary funding,series_h
Series and transitionary funding,series_j
Series and transitionary funding,series_unknown
Series and transitionary funding,convertible_note
Liquidity Coverages,debt_financing
Liquidity Coverages,post_ipo_debt
Late Game Safety,corporate_round
Late Game Safety,private_equity
Publicity and Beyond,post_ipo_equity
Publicity and Beyond,post_ipo_secondary
Publicity and Beyond,initial_coin_offering
