name,industry
Canal do Credito,finance
#waywire,news
&TV Communications,games_video
'Rock' Your Paper,education
(In)Touch Network,ecommerce
.Club Domains,software
.Fox Networks,advertising
0-6.com,web
0xdata,analytics
"1,2,3 Listo",ecommerce
1-800-DENTIST,health
1-800-DOCTORS,health
10-20 Media,ecommerce
1000 Corks,search
1000 Markets,ecommerce
1000jobboersen.de,web
1000memories,web
1000museums.com,web
1001 Menus,web
100du.tv,hospitality
100e.com,education
100Plus,analytics
1010data,software
10alike,advertising
10BestThings,web
10seconds Software,software
10X Technologies,biotech
10X10 Room,software
11i Solutions,enterprise
121cast,mobile
121nexus,software
1234ENTER,ecommerce
123ContactForm,ecommerce
123people,search
1248,software
12Society,ecommerce
1366 Technologies,manufacturing
139shop,ecommerce
13th Lab,mobile
140 Proof,advertising
140Fire,advertising
159.com,software
15Five,software
15MinutesNOW,games_video
16 Mile Solutions,software
169 ST.,games_video
170 Systems,software
17u.cn,travel
19pay,finance
1bib,web
1C Company,software
1calendar,education
1Cast,news
1CLICK,mobile
1CloudStar,enterprise
1DayLater,web
1DayMakeover,ecommerce
1DocWay,other
1Energy Systems,software
1eq,health
1jiajie,ecommerce
1Mind,social
1o1Media,photo_video
1Ring,web
1SDK,mobile
1spire,manufacturing
1stdibs,ecommerce
1stGig.com,ecommerce
1World Online,enterprise
2 Minutes,games_video
20/20 Gene Systems Inc.,biotech
2080 Media,news
20:20 Mobile,mobile
20lines,web
20x200,ecommerce
21Cake Food Co.,hospitality
21GRAMS,software
21viaNet,other
22nd Century Group,biotech
22seeds,software
2345.com,software
2359 Media,mobile
23andMe,biotech
23press,software
24 Media Network,news
24/7 Card,finance
247 Techies,hardware
248 SolidState,other
24M Technologies,cleantech
24PageBooks,software
24Symbols,software
24x7 Learning,education
250ok,software
25eight,software
265 Network,software
27 bards,software
27 Perry,ecommerce
280 North,software
28msec,software
2AdPro Media Solutions,advertising
2C2P,software
2can,mobile
2Catalyze,software
2CODE Online,software
2CRisk,software
2d2c,hardware
2degreesmobile,mobile
2DOLife.com,software
2Duche,ecommerce
2GO Mobile Solutions,software
2houses,web
"2nd Story Software, Inc.",software
2nd Watch,enterprise
2sms,messaging
2theloo,hospitality
2threads,social
2U,education
2Vancouver,ecommerce
2Web Technologies,software
2Win-Solutions,software
3 day Blinds,other
3-V Biosciences,biotech
30 Second Showcase,software
33Across,advertising
360Cities,web
360Guanxi,news
360incentives.com,software
360Learning,education
360pi,software
360SHOP,enterprise
360T,finance
365 Retail Markets,software
365Scores,mobile
365webcall,enterprise
37signals,software
382 Communications,mobile
3BaysOver,travel
3C Plus,software
3CI,biotech
3ClickEMR Corporation,software
3CLogic,software
3D Biomatrix,biotech
3D FUTURE VISION II,games_video
3D Hubs,web
3D Industri.es,web
3D Robotics,manufacturing
3D Sports Technology,software
3D Systems,software
3d Vision Systems,hardware
3dCart Shopping Cart Software,ecommerce
3DiVi Company,software
3DR Laboratories,biotech
3DSoC,mobile
3DVista,web
3FLOZ,web
3G Multimedia,music
3Gear Systems,software
3Guppies,music
3GV8 International Inc,mobile
3i Systems,semiconductor
3Jam,messaging
3Leaf,network_hosting
3LM,mobile
3P Biopharmaceuticals,biotech
3Pillar Global,software
3Play Media,software
3point5.com,web
3POWER ENERGY GROUP,cleantech
3rd Planet,web
3ROAM,mobile
3scale,enterprise
3Scan,biotech
3Seventy,software
3Sourcing,search
3SP Group,manufacturing
3sun,cleantech
3TIER,cleantech
3Touch,software
3VR,security
3X Systems,security
4-Tell,ecommerce
404 Found!,enterprise
40billion.com,social
410 Labs,messaging
41st Parameter,security
422 Group,software
42Floors,real_estate
42matters,games_video
42matters AG,web
42Networks,network_hosting
"43 Things, The Robot Co-op",software
46elks,mobile
480 Biomedical,biotech
4Blox,software
4C Insights,analytics
4Cable TV,cleantech
4DK Technologies,mobile
4Home,software
4INFO,advertising
4Less,ecommerce
4moms,hardware
4Soils,education
4Tech,biotech
4th aspect,software
4tiitoo,software
4vets,pets
5 CUPS and some sugar,web
5 examples,software
5 Minutes,games_video
5 O'Clock Records,software
50 Partners,finance
500Friends,enterprise
500px,photo_video
500Shops,software
51 Auto,automotive
51 Give,nonprofit
51.com,software
5173.com,ecommerce
51aiya.com,medical
51credit.com,finance
51edj,ecommerce
51edu,education
51hejia.com,web
51intern.com Ã¨â€¹Â±Ã¨â€¦Â¾Ã§Â½â€˜,social
51Talk,education
51wan,games_video
5211game,games_video
55social,software
55tuan.com,ecommerce
56.com,photo_video
58.com,web
591wed,web
5BARz International,mobile
5gig,music
5k Fans,software
5min Media,games_video
5minutes,web
5o9,software
5Rocks,games_video
5th Avenue Media,advertising
5th Finger,mobile
5to1,advertising
60mo,software
64 Pixels,web
6connect,network_hosting
6fusion,enterprise
6Rooms,photo_video
6Scan,security
6sicuro.it,finance
6th Sense Analytics,software
6Waves,games_video
6Wunderkinder,software
7 Billion People,software
7 Oaks Pharmaceutical,biotech
7 Star Entertainment,games_video
7-bites,enterprise
71lbs,analytics
72Lux,software
77 Pieces,web
7AC Technologies,cleantech
7billionideas,social
7digital,music
7fgame,games_video
7k7k.com,games_video
7mb Technologies,software
7signal Solutions,network_hosting
7Summits,consulting
7write,web
8 Securities Limited,web
80/20 Solutions,advertising
800APP,software
800razors,ecommerce
8020 Media,web
80th Street Residence FACC Fund I,health
8868,games_video
88tc88,mobile
8aweek,web
8D World,games_video
8digits,analytics
8hands,public_relations
8th Story,fashion
8thBridge,ecommerce
8tracks Radio,music
8Trip,travel
8villages,mobile
8x8 Inc,network_hosting
908 Devices,manufacturing
90sec Technologies,social
91 Boyuan Wireles,mobile
91 Wireless,mobile
91JinRong,web
99 Fahrenheit,finance
99Bill,ecommerce
99designs,design
99dresses,fashion
99Presents,ecommerce
99tests,software
99times.cn,ecommerce
9car Technology LLC,ecommerce
9DIAMOND,ecommerce
9facts,social
9flats,travel
9GAG,social
9Lenses,software
9Mile Labs,other
9SLIDES,enterprise
9Star Research,software
9tong.com,mobile
9You,games_video
@Pay,mobile
A Better Tomorrow Treatment Center,health
A Bit Lucky,games_video
A Curated World,ecommerce
A Family First Community Services,health
A la Mobile,mobile
A LITTLE WORLD,finance
A Smarter City,software
A vida Ã© feita de Desconto,other
A&G Pharmaceutical,biotech
A's Child,security
A-Gas,cleantech
A-Life Medical,biotech
A-Power Energy Generation Systems,cleantech
A-STAR,software
A-TEX,fashion
A-Vu Media,health
A.C. Moore,ecommerce
A.P.Pharma,biotech
A10 Networks,network_hosting
A123 Systems,mobile
A8 Digital Music,music
AA Carpooling Website,web
AAIPharma Services,biotech
Aarden Pharmaceuticals,biotech
Aardvark,search
Aarki,advertising
Aastrom Biosciences,biotech
aaTag,social
Aava Mobile,mobile
AB Microfinance Bank Nigeria,finance
Abaad Embodied Design LLC,other
Abacast,analytics
Abacus e-Media,software
Abakan,cleantech
Abakus,other
Abattis Bioceuticals,biotech
Abaxia,software
abaXX Technology,software
Abazab,web
ABB,cleantech
AbbeyPost,ecommerce
Abbott Labs,biotech
ABC Live,advertising
Abcam,biotech
abcdexperts,social
Abcellute,biotech
Abcodia,biotech
Abe's Market,ecommerce
abeo,medical
Abeona Therapeutics,biotech
AbGenomics,biotech
Abide Therapeutics,biotech
Ability Dynamics,medical
ABILITY Network,medical
AbilTo,web
Abine,web
Abingdon Health,medical
Abiquo,network_hosting
Abiquo Group,software
aBIZinaBOX,consulting
Ablative Solutions,biotech
Able Device,software
Able Imaging,health
Able Planet,hardware
AbleSky,software
Ablexis,biotech
Abloomy,mobile
Ablynx,biotech
ABODO,real_estate
Abound Solar,cleantech
about.me,web
AboutOne,web
AboutUs.org,web
Above All Software,software
Above Security,security
ABOVE Solutions,software
ABPathfinder,health
AbraResto,hospitality
Abroad101,education
ABS,medical
Absio,software
ABSMaterials,cleantech
Absolicon Solar Concentrator,cleantech
AbsolutData,analytics
Absorption Pharmaceuticals,biotech
Absynth Biologics,biotech
ABT Molecular Imaging,medical
Abundance Generation,finance
abusix,security
AC Immune SA,biotech
Acacia,mobile
Acacia Communications,network_hosting
Acacia Interactive,software
Acacia Living,health
Acacia Pharma,biotech
Acacia Research,finance
ACACIA Semiconductor,semiconductor
Academia RFID,consulting
Academia.edu,social
Academic Earth,education
Academica,consulting
AcademixDirect,education
Academize,education
Academy of Inovation,social
ACADIA Pharmaceuticals,biotech
AcadiaSoft,finance
ACAL Energy,cleantech
Acamica,education
Acarix,medical
ACB (India) Limited,other
Accedian Networks,mobile
Accedo,hardware
Accela,software
Accelalox,biotech
Accelera Innovations,health
Accelera Mobile Broadband,mobile
Accelerate Diagnostics,health
Accelerate Mobile Apps,mobile
Accelerated IO,software
Accelerated Orthopedic Technologies,medical
Accelerated Vision Group,analytics
Accelereach,social
Accelerize New Media,enterprise
Acceleron Pharma,biotech
AccelGolf,mobile
Accelitec,software
Accellion,enterprise
Accellos,software
AccelOps,analytics
AcceloWeb,web
Accendo Technologies,software
Accendo Therapeutics,health
Accent,semiconductor
Accentia Biopharmaceuticals Inc,biotech
Accenx Technologies,software
Accept Software,software
Acceptd,software
Accera,biotech
Accertify,security
Access Closure,medical
Access Information Management,enterprise
Access Intelligence,news
Access Media 3,security
Access MediQuip,medical
access mobile,mobile
Access Network,advertising
Access Northeast,network_hosting
Access Pharmaceuticals,biotech
Access Point,advertising
Access Psychiatry Solutions,biotech
Access Scientific,medical
Access Systems,other
Access UK,software
Accessbio,biotech
AccessData,enterprise
AccessSportsMedia.com,advertising
Accion,nonprofit
Accion Texas,nonprofit
Accipiter Radar,other
Accipiter Systems,analytics
Acclaim Games,games_video
Acclaimd,analytics
Acco Brands,hardware
ACCO Semiconductor,semiconductor
Accolo,consulting
Accord Biomaterials,biotech
Accordent Technologies,consulting
AccountNow,finance
Accrue Search Concepts dba Boounce,software
Accruent,enterprise
Accruit,software
Accu-Break Pharmaceuticals,biotech
Accudial Pharmaceutical,biotech
AccuDraft,software
Accuhealth Partners,health
Accumetrics,biotech
Accumulate,mobile
Accumuli Security,security
AccuNostics,medical
Accupost Corporation,software
Accurate Group,real_estate
Accurence,software
AccuRev,software
Accuri Cytometers,biotech
AccurIC,hardware
AccuSilicon,semiconductor
AccuTherm Systems,hardware
Accuvant,security
AccuVein,hardware
ACE,biotech
Ace Metrix,advertising
ACE Portal,finance
ACE*COMM,public_relations
ACell,health
AcelRx Pharmaceuticals,biotech
Acendi Interactive,security
Acer,hardware
Acera Surgical,medical
Aceris 3D Inspection,semiconductor
Acertiv,social
Acesion Pharma,biotech
Acesis,software
Acetylon Pharmaceuticals,biotech
Aceva Technologies,enterprise
AchaLa,advertising
Achaogen,biotech
Achates Power,cleantech
Acheive CCA,finance
Achelios Therapeutics,biotech
ACHICA,ecommerce
Achieve Financial Services,finance
Achieve X,software
Achieve3000,software
Achieved.co,education
AchieveIt Online,enterprise
AchieveMint,health
Achievers,software
Achievo(R) Corporation,enterprise
Achilles Group,enterprise
Achillion Pharmaceuticals,biotech
Achronix Semiconductor,semiconductor
achvr,web
Aciex Therapeutics,biotech
Acision,mobile
Aclaris Therapeutics,biotech
ACM Capital Partners,consulting
Acme Packet,network_hosting
aCommerce,ecommerce
Acompli,enterprise
aCon,hardware
Aconex,software
Aconite Technology,software
Acopia Networks,software
Acopio,analytics
Acorio,enterprise
Acorn International,advertising
Acorns,finance
Acoustic Sensing Technology,cleantech
Acoustic Technologies,software
Acousticeye,cleantech
Acqua Telecom Ltd,mobile
Acquaintable,web
Acquia,enterprise
Acquisio,software
Acrecent Financial,finance
Acrinta,health
Acrisure,finance
Acrolinx,software
Acronis,network_hosting
"Acronym Media, Inc.",search
Across America Financial Services,finance
ACS Biomarker,biotech
ACS Clothing,ecommerce
ACS Global,biotech
Acsendo,enterprise
ACSIAN,software
Acsis,enterprise
ACT Biotech,biotech
Act-On Software,enterprise
Actacell,cleantech
ActBlue,cleantech
Actelis Networks,network_hosting
Actiance,software
Actifi,consulting
Actifio,enterprise
Actimagine,software
Actimis Pharmaceuticals,biotech
Actinium Pharmaceuticals,biotech
Actinobac Biomed,biotech
Action,ecommerce
Action Engine,mobile
Action Online Publishing,games_video
Action Pharma,biotech
Action Products International,software
Actionality,advertising
ActionBase,advertising
ActionFlow,messaging
ActionPlanner,software
ActionRun,software
Actionsoft,enterprise
ActionX,mobile
Actito,software
ACTIV Financial Systems,software
Activ Technologies,software
activ8 Intelligence,software
Activaero,biotech
Activate Healthcare,medical
Activate Networks,analytics
Activation Life,biotech
Active Circle,software
Active DSP,software
Active Endpoints,enterprise
Active Implants,biotech
Active International,advertising
Active Life Scientific,biotech
Active Media,advertising
Active Mind Technology,software
ACTIVE Network,software
Active Optical MEMS,other
Active Storage,enterprise
Active Voice Corporation,social
Active-Semi,semiconductor
ActiveGift,web
Actively Learn,education
ActiveO,health
ActivePath,finance
ActiveRain,real_estate
ActiveReplay,sports
ActiveSec,mobile
ActiveTrak,software
ActivIdentity,enterprise
ActiViews,medical
Activiomics,biotech
Activism.com,network_hosting
ActivNetworks,enterprise
Actiwave,mobile
Actix,mobile
ACTON,ecommerce
Acton Pharmaceuticals,biotech
ActSocial,advertising
ActuatedMedical,hardware
Acturis,software
Actus Digital,news
Actus Interactive Software,software
actv8,network_hosting
ActX,biotech
Acucar Guarani,other
Acucela,biotech
AcuFocus,medical
Acuitas Medical,medical
Acuity Medical International,medical
AcuityAds,advertising
Acumatica,enterprise
Acumen Holdings,ecommerce
Acumen Pharmaceuticals,biotech
Acumentrics,manufacturing
Acunote,public_relations
Acunu,analytics
Acupera,medical
Acura Pharmaceuticals,biotech
Acusphere,biotech
Acustream,medical
Acutus Medical,biotech
Acyclica,transportation
Acylin Therapeutics,biotech
Ad Dynamo,advertising
Ad Hoc Labs,mobile
Ad Infuse,advertising
Ad Knights,advertising
Ad Summos,advertising
Ad Tech Media Sales,advertising
AdAdapted,news
adaffix,mobile
Adagio Medical,medical
Adallom,security
AdAlta,biotech
Adama Materials,nanotech
Adamas Pharmaceuticals,biotech
Adamis Pharmaceuticals,biotech
Adams Arms,manufacturing
Adap.tv,advertising
Adapt,enterprise
Adapt Technologies,advertising
Adapta Medical,medical
Adapteva,semiconductor
Adaptimmune,biotech
"Adaptive Advertising, Inc.",advertising
Adaptive Biotechnologies,biotech
Adaptive Computing,enterprise
Adaptive Digital Power,semiconductor
Adaptive Ozone Solutions,cleantech
Adaptive Payments,ecommerce
Adaptive Planning,software
Adaptive TCR,biotech
Adaptive Technologies,software
AdaptiveBlue,games_video
AdaptiveMobile,mobile
Adaptivity,enterprise
ADAPTIX,public_relations
Adaptly,advertising
Adapx,software
Adar IT,software
Adara Media,advertising
Adarza BioSystems,biotech
Adayana,finance
AdBira Network,advertising
Adbrain,advertising
adBrite,advertising
AdBuddy,advertising
ADC Therapeutics,biotech
Adcade,advertising
AdCare Health Systems,biotech
Adcast,advertising
ADCentricity,advertising
Adchemy,advertising
AdChina,advertising
Adconion Media Group,advertising
Adcrowd retargeting,advertising
Addashop,ecommerce
Addepar,finance
AddFleet,mobile
AddIn Social,software
Additech,automotive
AddMyBest,ecommerce
AddonTV,advertising
Addoway,ecommerce
AddSearch,search
AddShoppers,ecommerce
AddThis,advertising
Adduplex,advertising
Addus HealthCare,health
Addvocate,enterprise
addwish,ecommerce
Addy,enterprise
Adea,consulting
aDealio,ecommerce
AdECN,advertising
AdelaVoice,software
Adelja Learning,education
Adelphic Mobile,mobile
Adenios,biotech
Adenovir Pharma,biotech
ADENTS HTI,software
Adenyo,mobile
Adept Cloud,enterprise
AdEspresso,software
Adesso Solutions,software
Adesto Technologies,semiconductor
adeven,mobile
AdEx Media,advertising
AdexLink,advertising
Adeyoh,web
Adeze,advertising
Adfaces,advertising
AdFinance,advertising
adfinitum Networks,advertising
ADFLOW Health Networks,health
adflyer,ecommerce
"Adfora, Inc.",advertising
Adform,advertising
adFreeq,advertising
AdGent Digital,advertising
AdGrok,advertising
AdHack,advertising
Adhere2Care,health
AdhereTech,medical
AdhereTx,medical
Adherex Technologies,biotech
Adhesion Wealth Advisor Solutions,software
Adhesive.co,advertising
Adhezion Biomedical,biotech
adhoclabs,mobile
Adhysteria,web
Adial Pharmaceuticals,biotech
Adiana,biotech
adicate timeads,advertising
Adictiz,games_video
AdiCyte,biotech
Adient Health,medical
Adify,advertising
Adility,advertising
Adimab,biotech
Adinch Inc,advertising
AdInnovation,mobile
Adioso,travel
Adisn,advertising
Aditive,advertising
ADITU SAS,analytics
Adjacent Applications,ecommerce
Adjudica,enterprise
Adjug,advertising
AdKeeper,advertising
Adknowledge,advertising
Adku,software
AdLemons,advertising
Adlibrium Inc,advertising
Adlogix,advertising
Adly,social
Adlyfe,biotech
ADMA Biologics,biotech
ADman Media,advertising
ADmantX,advertising
AdMaster,advertising
Admazely,advertising
Admedo Ltd,advertising
Admeld,advertising
ADMETA,advertising
Admetric,advertising
admetricks,advertising
adMingle - Share Your Passion!,social
Admira Cosmetics,ecommerce
Admiral Records Management,consulting
Admitly,other
AdmitOne Security,security
Admittance Technologies,medical
Admittedly,education
AdMob,advertising
AdMobius,advertising
AdMoment,advertising
Adnavance Technologies,biotech
AdNear,analytics
AdNectar,advertising
Adnexus,biotech
Adocia,biotech
Adocu.com,network_hosting
Adometry,advertising
ADOMIC (formerly YieldMetrics),advertising
Adomik,advertising
Adomo,messaging
Adonit,hardware
ADOR,news
Adore Me,fashion
AdoTube,advertising
ADP,consulting
Adpoints,advertising
adQuota,advertising
ADR Sales & Concepts,search
ADR Software,software
AdReady,advertising
Adrenaline Mobility,security
